attacker_delay,outcome,attacker_start_time,Document_lookup_start,Document_lookup_end,Blob_fetch_start,Blob_fetch_end,Initial_sec_validation_start,Initial_sec_validation_end,Document_marked_safe_start,Document_marked_safe_end,Dispatch_to_agent_start,Dispatch_to_agent_end,Agent_retrieves_document_state_start,Agent_retrieves_document_state_end,Agent_retrieves_document_start,Agent_retrieves_document_end,attacker_modify_time,attacker_modify_done,blob_read_time
32,safe,01:11:27.432709,01:11:27.432709,01:11:27.433255,01:11:27.433255,01:11:27.434641,01:11:27.434641,01:11:27.437125,01:11:27.437125,01:11:27.446966,01:11:27.446994,01:11:27.460894,01:11:27.460894,01:11:27.466986,01:11:27.920571,01:11:27.926240,01:11:27.480801,01:11:27.480980,01:11:27.434064
32,leak,01:11:32.546567,01:11:32.546567,01:11:32.546905,01:11:32.546905,01:11:32.548002,01:11:32.548002,01:11:32.550113,01:11:32.550113,01:11:32.559476,01:11:32.559497,01:11:32.572756,01:11:32.572756,01:11:32.578112,01:11:33.031143,01:11:33.036791,01:11:32.599835,01:11:32.600031,01:11:32.547513
32,safe,01:11:36.042236,01:11:36.042236,01:11:36.042539,01:11:36.042539,01:11:36.043543,01:11:36.043543,01:11:36.045207,01:11:36.045207,01:11:36.054687,01:11:36.054712,01:11:36.067584,01:11:36.067584,01:11:36.073525,01:11:36.520538,01:11:36.525709,01:11:36.075212,01:11:36.075372,01:11:36.043088
32,safe,01:11:41.111281,01:11:41.111281,01:11:41.111672,01:11:41.111672,01:11:41.112875,01:11:41.112875,01:11:41.115428,01:11:41.115428,01:11:41.125006,01:11:41.125037,01:11:41.138272,01:11:41.138272,01:11:41.143480,01:11:41.586313,01:11:41.591388,01:11:41.144462,01:11:41.144588,01:11:41.112306
32,leak,01:11:46.241376,01:11:46.241376,01:11:46.241853,01:11:46.241853,01:11:46.243332,01:11:46.243332,01:11:46.245737,01:11:46.245737,01:11:46.256206,01:11:46.256242,01:11:46.271111,01:11:46.271111,01:11:46.277445,01:11:46.723701,01:11:46.729159,01:11:46.296537,01:11:46.296810,01:11:46.242712
32,leak,01:11:49.822652,01:11:49.822652,01:11:49.822960,01:11:49.822960,01:11:49.824039,01:11:49.824039,01:11:49.825397,01:11:49.825397,01:11:49.834646,01:11:49.834663,01:11:49.853924,01:11:49.853924,01:11:49.859205,01:11:50.300194,01:11:50.305475,01:11:49.855343,01:11:49.855479,01:11:49.823546
32,safe,01:11:53.516213,01:11:53.516213,01:11:53.516536,01:11:53.516536,01:11:53.517689,01:11:53.517689,01:11:53.519018,01:11:53.519018,01:11:53.528202,01:11:53.528227,01:11:53.542198,01:11:53.542198,01:11:53.547516,01:11:53.997575,01:11:54.002604,01:11:53.548140,01:11:53.548259,01:11:53.517140
32,leak,01:11:58.509405,01:11:58.509405,01:11:58.509721,01:11:58.509721,01:11:58.510817,01:11:58.510817,01:11:58.512090,01:11:58.512090,01:11:58.521602,01:11:58.521619,01:11:58.534923,01:11:58.534923,01:11:58.540236,01:11:58.982089,01:11:58.987250,01:11:58.541898,01:11:58.542051,01:11:58.510319
32,leak,01:12:01.720666,01:12:01.720666,01:12:01.721009,01:12:01.721009,01:12:01.722255,01:12:01.722255,01:12:01.724003,01:12:01.724003,01:12:01.734143,01:12:01.734165,01:12:01.746980,01:12:01.746980,01:12:01.752434,01:12:02.192755,01:12:02.197924,01:12:01.753364,01:12:01.753505,01:12:01.721683
64,safe,01:12:05.343134,01:12:05.343134,01:12:05.343440,01:12:05.343440,01:12:05.344585,01:12:05.344585,01:12:05.345948,01:12:05.345948,01:12:05.355031,01:12:05.355049,01:12:05.367319,01:12:05.367319,01:12:05.372737,01:12:05.814050,01:12:05.819196,01:12:05.408661,01:12:05.408886,01:12:05.344018
64,safe,01:12:10.283497,01:12:10.283497,01:12:10.283860,01:12:10.283860,01:12:10.285021,01:12:10.285021,01:12:10.286756,01:12:10.286756,01:12:10.296164,01:12:10.296189,01:12:10.309206,01:12:10.309206,01:12:10.314461,01:12:10.762336,01:12:10.767747,01:12:10.348536,01:12:10.348786,01:12:10.284477
64,leak,01:12:15.478607,01:12:15.478607,01:12:15.478963,01:12:15.478963,01:12:15.480043,01:12:15.480043,01:12:15.482674,01:12:15.482674,01:12:15.492314,01:12:15.492336,01:12:15.504664,01:12:15.504664,01:12:15.510146,01:12:15.953931,01:12:15.959364,01:12:15.544172,01:12:15.544361,01:12:15.479570
64,leak,01:12:18.712670,01:12:18.712670,01:12:18.712971,01:12:18.712971,01:12:18.713990,01:12:18.713990,01:12:18.715374,01:12:18.715374,01:12:18.724559,01:12:18.724580,01:12:18.737444,01:12:18.737444,01:12:18.743719,01:12:19.188931,01:12:19.194134,01:12:18.778177,01:12:18.778471,01:12:18.713515
64,leak,01:12:22.289972,01:12:22.289972,01:12:22.290301,01:12:22.290301,01:12:22.291407,01:12:22.291407,01:12:22.292884,01:12:22.292884,01:12:22.302115,01:12:22.302157,01:12:22.315195,01:12:22.315195,01:12:22.320645,01:12:22.760375,01:12:22.765846,01:12:22.355341,01:12:22.355548,01:12:22.290867
64,leak,01:12:25.496576,01:12:25.496576,01:12:25.496909,01:12:25.496909,01:12:25.498127,01:12:25.498127,01:12:25.499916,01:12:25.499916,01:12:25.509223,01:12:25.509241,01:12:25.522443,01:12:25.522443,01:12:25.527578,01:12:25.970166,01:12:25.975660,01:12:25.561784,01:12:25.562010,01:12:25.497547
64,leak,01:12:28.386409,01:12:28.386409,01:12:28.386739,01:12:28.386739,01:12:28.387789,01:12:28.387789,01:12:28.389082,01:12:28.389082,01:12:28.398214,01:12:28.398235,01:12:28.411515,01:12:28.411515,01:12:28.417044,01:12:28.860861,01:12:28.866517,01:12:28.451486,01:12:28.451699,01:12:28.387297
